tweet_id,tweet,sentiment
1701,#sxswnui #sxsw #apple defining language of touch with different dialects becoming smaller,1
1851,"Learning ab Google doodles! All doodles should be light, funny &amp; innovative, with exceptions for significant occasions. #GoogleDoodle #sxsw",1
2689,"one of the most in-your-face ex. of stealing the show in yrs RT @mention &quot;At #SXSW, Apple schools the mkt experts&quot;  {link}",2
4525,This iPhone #SXSW app would b pretty awesome if it didn't crash every 10mins during extended browsing. #Fuckit #Illmakeitwork,0
3604,Line outside the Apple store in Austin waiting for the new iPad #SXSW  {link},1
966,#technews One lone dude awaits iPad 2 at AppleÛªs SXSW store {link} #Tech_News #Apple #iPad_2 #SXSW #tablets #tech,1
1395,"SXSW Tips, Prince, NPR Videos, Toy Shopping With Zuckerberg.
{link}  #sxsw  #ipad",1
8182,NU user RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable,1
8835,Free #SXSW sampler on iTunes {link} #FreeMusic,2
883,I think I might go all weekend without seeing the same iPad case twice... #sxsw,2
6398,RT @mention Official #SXSW App Û÷SXSW GOÛª bit.ly/hmiiGa #android #iphone #ipad,3
2369,It's official! I'm buying an iPad. #SXSW #elevate,2
3944,"They're giving away iPad 2's, x boxes and books at @mention #sxsw #techenvy",2
6909,"RT @mention We're officially at #SXSW! Come by the @mention Grill, mention us w/ #zazzlsxsw and youÛªll get to make your own iPhone case!",1
7917,"#Companies to watch, from the #SXSW trade show floor {link} #apps #features #hardware #ipad #iphone",1
5849,"RT @mention Google Marissa Mayer, future of location: augmented reality, contextual discovery, make smartphones smarter. #sxsw",1
1955,DL the #Calyp App to get into #Calyp Casa at #SXSW the free mobile app is available in iTunes App Store &amp; Android Market. See u there!,1
1472,"Well yeah.  Music &gt; iPhone nerds RT @mention my god, cute girls everywhere...I love when interactive ends and music begins #sxsw",2
4730,Apple Opens Pop Up Store at SXSW {link} via @mention #apple #iPad2 #technology #iTunes #SXSW,1
2166,@mention atleast you are at #sxsw. I'm not there AND I have no Ipad. #doubleloser,1
3497,"Cue the choir music #SXSW  @mention Apple Store, SXSW {link}",1
165,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,1
1352,"_¼ÛÄ___ü ___¡  _____«_µ... &gt;&gt; @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",2
6431,RT @mention P.S. @mention and Google throw a b!tchin' party. Shout out to The Spazmatics #sxsw,2
634,".@mention I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",0
4544,does anyone know if google did talk about #circles at #SXSW ?,1
568,ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ @mention  @mention,1
775,"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #SXSW",1
5368,standing on a long line surrounded by unemployed techies from brooklyn!  am i at #sxsw or at the apple store on 5th ave waiting for ipad?!,3
3087,WOW! *Something Ventured* was a kick ass film... Google or blekko it for details. Good choice @mention #sxsw #startups #VC #movie #awesome,1
5398,RT @mention Any iPad djs here? Need one for 3am Tuesday- Douche bags need not apply- #sxsw,1
2491,All Packed. A few too many #Apple devices. Alarm set for 5:15am. See ya'll at #SXSW. Psyched to meet (finally) many of you guys!,2
1993,"Check in and offers through Google, cool. {link} #SXSW",2
6275,"RT @mention Looks very interesting RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",2
1178,"So I went the whole day w/out my laptop &amp; just used my iPad 1. Things I missed: FTP, cloudapp, fast typing, &amp; skype. #iPad #sxsw",0
3628,Find out if you are stupid with our Stupid Game for you #iPad currently on special #sxsw sale! {link},1
328,Overheard at #SXSW: &quot;Google doesn't launch products at other people's events.&quot;,1
7112,"Mayer: People drive 12bn+ miles a year using Google Maps Navigation. Whither, Sat Nav? #sxsw",1
5838,RT @mention Google Launches Geo-Social 'Offers' at #SXSW {link} #DeferoMobile,1
6895,"RT @mention We're giving away a shiny iPad 2 at SXSW Quotables, simply sign up to be entered automatically! &gt;&gt; {link}  #ipad2 #sxsw",1
3550,@mention i heard the downtown location sold $1m in merchandise last night #sxsw #apple #ipad2,1
885,"Bummed to miss #SXSW this year, but we're all quarantined with the same kiddie cold, and I have GarageBand on my iPad to comfort me. #fb",2
2007,"Lonely Planet has made the Austin Guide free for #sxsw grab it, you never know when you will need it. {link}",1
8697,"SXSW: GroupMe says itÛªs going global. First, it adds new social features. {link} #Android #iPhone #SMS #SteveMartocci #SXSW",1
2989,Time Warner Cable to roll iPad app with live TV on March 15 {link} #entry #friends #house #sxsw,1
8312,#SXSW Post-Mobile Social Party by @mention {link} (via @mention you could win photography gear &amp; an iPad 2,1
5537,RT @mention Awesome new version of @mention for iPhone and new web site coming after #sxsw. Want a demo? Meet with @mention at #sxsw. Pls RT,2
1569,Download @mention and let's do one in SF this is sweet! @mention @mention @mention {link}  love the vid! (via @LenaShaw) #SxSW,1
1415,Nice Move: Apple set to open popup shop in core of #SXSW action {link},2
8983,The Motley Fool: Google Prepares for Its Fight With Facebook | Circles may not have appeared at #SXSW but on its way {link},1
5058,RT @mention 'Google lost its way by caring too much for the business vs. the users' - @mention #psych #sxsw,0
6831,RT @mention Update #Recco! {link} Which #SXSW panels/parties are def good times? Follow friends who've been there b4 if you're a newbie.,1
579,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ Dejavu all over again.",1
1666,@mention &quot;I've only seen one iPad 2 at #SXSW so far.&quot; Then 30+ audience members raise their iPad 2's.,1
1843,"&lt;just a rumor...&gt; RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",1
529,"Tessie S, frontwoman for Intimate Stranger, has ink in the most painful places to get ink on. Respect.  Location: {link}  #sxsw",1
3760,"The @mention &quot;Future&quot; of Contextual Discovery is a nice way of articulating the intersection of social, mobile and search. #SXSW",1
7433,"Google reportedly to unveil new social network called Circles, likely to launch in May {link} #GoogleCircles #GoogleMe #SXSW",1
2522,"#SXSW Tradeshow floor: Engage w/ our multi-touch interactive wall, take part in an Augmented Reality in 3D and enter to win an iPad.",1
3484,#Sxsw fashion essential #13:  photo on iPhone with @mention @mention or @mention,1
7372,Awesome iPhone charging lockers at the registrant's lounge  #sxsw {link},2
1488,Brilliant...i hope they have plenty of iPads...RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw,2
3967,LaunchRock And Vencorps Want To Give $30K To The ÛÏBestÛ Startups #SXSW {link},1
2435,I composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps. #twitterpower #sxsw #imthatgood,0
6087,"RT @mention If #sxsw taught me anything, its that I want an iPad 2 and I dont know why.",2
4542,Does anyone have news from #SXSW? Other than the #iPad 2 is a must-have of course. {link},2
624,T-minus 6 hours: social media mavens start performing degrading sex acts for an iPhone charge. #SXSW,1
3404,@mention haha for which? The iPhone or #sxsw?,1
3850,@mention is about to talk about the mistakes he made building Netflix for the iPhone. #SXSW #netflixiphone,0
1804,I'd say 75% of booths at this tradeshow are waffling off an iPad 2. About the same portion have reps dressed up as crazy characters. #SxSW,1
2937,#iPad2 @mention Apple Store #SXSW Photos thanks to @mention @mention @mention @GapPacker @flavugm @MarcusRoss  @JordanBell {link},1
4855,"#Google to Launch Major New Social Network Called #Circles, Possibly Today {link} #sxsw",1
2417,#bjdproductions #Apple Opening Pop-Up Store in Austin for #SXSW Geekfest [Apple] {link} #tech,1
3536,Any thoughts on the Path iphone photo app? #sxsw #iphoneography #mobilephotography,1
1779,"@mention 2 heck w/being sick, #Apple is supposedly setting up mini-store at #sxsw - I so have to go now!! &amp; I'm feeling 95%, so plan 2 go",1
6129,RT @mention In line at what might very well be the popup Apple store in Austin #SXSW #ipad2,1
489,#4sq sees Facebook and Google as competition via @mention #checkins #sxsw,1
2296,Google Labs' Fusion Tables made Election Day Foursquare visualization possible #SXSW ^PR,2
3269,#tech #Lightbox_Photos Wants To Be Your New #Android Camera App (#SXSW): Although Android adoption is... {link} #technology,2
4274,"Google's Marissa Mayer on the location-based 'fast, fun and future' {link} #SXSW #SXSWi",2
180,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",0
4711,There is nothing quite like #SXSW to make you want an iPad. Desperately. Am almost drooling on the guy's next to me.,2
51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",1
5252,RT @mention #Social Is Too Important For #Google To Screw Up With A Big Launch Circus {link} via @mention #SXSW,1
7204,If you thought people spent a lot of time staring at their iPhone last year at #sxsw ...just wait.,1
4583,Google's new social network &quot;Circles&quot; being announced today?? #sxsw,1
7077,Apple to Open Pop-Up Shop at SXSW [REPORT]: {link} #sxsw,1
5399,RT @mention Any iPAD2's left at the Apple store at #SXSW? Anyone know? :),1
1438,@mention :New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link},1
6541,RT @mention RT @mention Google set to launch new social network #Circles today at #sxsw,1
7456,"Cunning Apple, keeping the #iPad2 popup store open late next to #sxsw parties for impulsive late night purchases. No regrets here...",2
7792,N22: Opportunity Knocks {link} [codes valid: 12:00-3:59:59p 03/13/11] #infektd #sxsw #necro,1
8178,Lazers! RT @mention on display tonite: {link} #gsdm #google Industry Party: {link} #sxsw,1
4469,"Correction: Our cab driver is well prepared for #sxsw - he's got a laptop, a Blackberry and iPhone by his dashboard. He got a regular cell 2",1
8016,#SXSW #fmsignal Marissa Mayer from #Google announces Check ins in interview with John Battelle. {link},1
2339,"#sxsw #enchantment: @mention &quot;It's like saying, please don't register. Just go to Google.&quot;  Hahah",1
6615,"RT @mention RT @mention Tweet this to register for exclusive passes to events, parties + iPad 2 during #SXSW me liberty and/or a free #sxswpass",1
680,Tim Soo's invisible instruments are jaw dropping. iPhone+Wii controller. {link} #lovemusicapi #sxsw,2
6669,RT @mention So it appears Apple is opening a pop up store in Austin for #sxsw - the employees were trying to hide it. The Beechwood tables gave it away.,1
6034,RT @mention Horror stories from women in tech: {link} #sxsw #9to5,1
5755,RT @mention Full #SXSW #touchingstories presentation: {link},1
4671,I'm listening to 'Congo' by Os Ipanemas via the Discovr app on my iPhone {link} Live from #sxsw,1
8772,"Such an eventful day,earthquake, tsunami and #iPad 2 plus #SXSW.. {link}",1
6127,"RT @mention In iPad Design Headaches: Take Two Tablets, Call Me in the AM panel - excited to hear @mention live! #sxsw",1
8850,Tired of waiting in line @mention stores? Best buy in Austin announces ipad2 on sale today. #sxswinfo #sxsw,1
4806,A smart entrepreneur would set up an on-line consignment shop to help sell off all those outdated iPad1 units at #SxSW {link},1
1607,"It's on, @mention just walked in to The Industry Party by #GSDM &amp; #Google Austin, TX. #SXSW",1
704,"Check out iPhone Developer Meet Up at SXSW.
{link} #SXSW",2
828,Is Google launching its own social network? Definitely not at ##sxsw. But rumor still has it...{link}  #googlecircles,1
7262,Anyone know if #SXSW Apple Store still has iPads?,1
3749,A good point! RT @mention Love it. @mention at #sxsw: &quot;apple comes up with cool technology because they don't go to conferences&quot;,2
4658,"Apple opening downtown Austin pop up store for #SXSW. RT @mention Before It Even Begins, Apple Wins SXSW {link}",2
8426,What are the chances that @mention will NOT buy an iPad 2 at #sxsw (unless he already got one on the way)?,1
8099,"about to start - Google Doodles: Burning Man to Pac-Man and Beyond, let's ser if i get new ideas for sapo #SXSW",1
5174,RT @mention &quot;Everyone here already has one.&quot; is not anti-theft protection when you leave your laptop or iPad to go get your latte. #sxsw @mention,1
8330,&quot;Lotta hipsters here. You could meet a guy in a fedora with an iPad 2.&quot; @mention to his assistant on the stage at #sxsw,1
7152,"#tech Before It Even Begins, Apple Wins #SXSW {link}",2
5083,RT @mention {link} Did you hear? AppleÛªs opening a temporary store just for #SXSW! (via @mention,2
7190,For all you #sxsw folks taking notes on your iPad be sure to download Dan Bricklin's app Notetaker. Really sweet.  Thanks @mention,2
3876,"@mention is that u? &quot;Google to Launch Major New Social Network Called Circles, Possibly Today&quot; {link} #sxsw",1
5214,RT @mention #Apple setting up pop-up store Austin (to sell bajillions of iPad2s to #sxsw attendees) {link} [brilliant],2
5415,RT @mention Apple announces pop-up store at #SXSW. See our take on the future of pop-up stores here: {link} (client),1
8107,At the vestibule of the temp-apple store (20 min wait) for iPad2 AT&amp;T 64g -- they've replenished the supply! #sxsw,2
4618,Google/Bing search smackdown panel is in a giant room with not enough chairs. Hope you have a search for &quot;floor-sitting!&quot; #SXSW,3
3426,"Lots of chatter around Google's new social network, Circles #SXSW -KEK",1
1845,Watching a talk by the guy who hired Jony Ive into Apple. #SXSW #industrialdesign,1
6675,RT @mention Sound of My Voice was shot exploiting Apple &amp; Best Buy's 14-day return policy on iMacs. Brilliant. #sxsw,1
5590,RT @mention Cameron Sinclair @mention Spearheads Japan Disaster Relief From #SXSW Via Twitter &amp; iPhone {link},1
4606,My tweeting from #sxsw been pretty non existent today thanks to the @mention iPhone app #fail - Hootsuite is the epic replacement! #owllove,0
8235,Arrived at Google and @mention #SXSW party. Awesome.,2
1687,"@mention #iPad Lounge: Recharge while you see #Art From the #iPad show, daily for #SXSW åÇ Austin Details {link}",1
4659,Apple Opening Pop-Up Store in Austin (Sixth &amp; Congress) for #SXSW {link} #iPad2,1
1943,#virtualwallet #sxsw #paypal we get physical goods cut #apple gets their 30% on software and virtual goods,1
7469,Original products for 1 device is nuts. #sxsw. Eg the iPad,3
1768,#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link},1
3668,"Juts in time for #SXSW =&gt; Group-Texting War Heats Up: Fast Society Launches New Android App, Updates iPhone App {link}",2
8565,Just got to the google party at speakeasy. Free drinks and food coming out! #sxsw,1
5079,RT @mention [Just FYI...] BREAKING: Google to Launch Major New Social Network Called Circles...Today? {link} via @mention #sxsw #socialmedia,1
414,"Crazy big crowds now. #SXSW @mention Apple Store, SXSW {link}",1
6959,RT @mention Woah.  Dude at #sxsw gets branded tattoo in exchange for iPad.  No really. {link} @mention What do YOU think?,1
8687,Apple Popup Store at #SXSW {link},1
6741,"RT @mention the internet blurs, {link} the iPad fades, {link} ÛÒ @mention at #SXSW",1
4454,Sitting on the floor behind a guy who's fondling his new iPad 2 in a very disturbing way. #sxsw,0
2199,Giving away an iPad 2 at this panel. Wish me luck! #sxsw,2
1508,The world's largest iPad. #sxsw {link},2
7739,iPhone version of flipboard hopefully out this summer #sxflip #sxsw,2
7302,Setting up for the Google #gsdm  #sxsw party. It's going to be a-ma-zing. Check out events at sxsurrogates.com and come on out.,2
5588,RT @mention Calvin is now the Geek Charlie Sheen with his goddesses. @mention @mention @mention @Schmittastic #google #SXSW,1
2009,Lonely Planet's free guide to Austin: {link} iPhone #sxsw,1
5909,"RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today by @mention {link} via @mention #SXSW",1
2430,#Apple and #HP are 'popping in' for #SXSW; both setting up temp sites: {link} #Austin #Atx #Austinbusiness,1
5831,RT @mention Google is NOT launching any products at #SXSW {link},1
7553,Seated for Turkey Bowl; Armadillo &amp; Kill List Sxxpress passes acquired; now if I could only buy an iPad. #SXSW,2
3901,Has made it into the press room got the swag and registered for an iPad 2. Hopefully get to meet mike tyson and @mention #sxsw,1
7974,I still use Tweetie for Mac &amp; I'm running Leopard. I'll be a pariah at #SXSW! I wish I at least had an Android! SOMETHING TO MAKE ME COOL.,2
3264,Google might launch Circles today at #sxsw - {link}  #mobile491,1
8256,In my next life I'm coming back as an iPad 2. Women can't keep their hands off this thing. #SXSW,2
1876,Win an iPad 2 at SXSW via @mention ! #sxsw {link},2
4400,I was on my way here for the android party but hewlitt packard has a badass thing goiing with free food and booze and music. I love #sxsw,1
893,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Shared by PaulÛ_ {link} #shared",1
8501,"IPad tweeting, riding thru the 210! #sxsw",2
1810,We setup a #SXSW demo restaurant page. Sign up or download our iPhone app to check it out {link} &amp; say hi to @mention at #SXSWi,2
6987,RT @mention YES! updated iPhone app has song info @mention 24/7 stream +others also live video streaming for #SXSW {link},2
1878,"has an ipad 2 in his hands, and it is exquisite. #sxsw",2
1907,Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!,2
5216,RT @mention #Apple to open pop up store at #SXSW in time for #ipad2 sales {link},1
5962,"RT @mention Have decided I need an ipad. #usguys #sxsw - I agree, you do!",2
4319,"Yup. RT @mention I woke up before my iPhone finished recharging. That means I got enough sleep last night, right? #sxsw",1
3174,Platform for Concertgoers Launches Android App in Time for SXSW - {link} #sxsw {link},1
6652,RT @mention Server Challenge is a huge hit at #sxsw! Come by booth 400 to try your hand. Win an iPhone 4 bottle opener case by beating 2 mins.,1
4502,Anyone find the makeshift #Apple store at #SXSW yet?,2
161,The Apple #SXSW store still has iPad 2's and short lines.,2
1221,"According to Google's Marissa Mayer, future of location: augmented reality, contextual discovery, making smartphones smarter. #sxsw #fb",1
4594,"money, money, money ....#Apple heads to #SXSW, sets up temporary store in Austin {link} via @mention",1
1674,"&quot;Oh #@mention There goes search!.&quot; Watch out Google, @mention seems to be coming after you
#launch #sxsw",1
5655,RT @mention Dawn's iPad App of the Week is up early to help you prep for #SXSW: {link},2
4382,What are my #Seattle #SXSW peeps up to today? Replacement iPhone in hand - I'm back in action!,2
2762,"[On iPhone, mute tags, people, conversationsÛ_] &quot;so does @mention for those on mobile #SXSW #notatSXSW &quot; [RT @mention",1
2434,"Discovered a new conversation icebreaker: &quot;Hey, is that the new iPad 2? Why yes it is...&quot; #SXSW #social",2
6575,RT @mention Rt @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},1
2802,What a great blog on the latest news of #SXSW ... like the opening of an #Apple store? {link} #sxsw2011 @mention,2
5108,RT @mention @mention #BT #SXSW &quot;Having a really GREAT social search is probably a very good idea for #google&quot; @mention,2
3470,@mention here's your personal guide to austin for #sxsw {link},1
1566,@mention @mention Apple to open temporary store Friday in the Scarbrough Building at 6th and Congress #SxSW {link},1
217,"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",2
4204,I realllllllly need to upgrade my phone haha RT @mention 10 iPhone Apps youÛªll Probably Need and Use During #SXSW {link},2
